,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,【한글자막】 Computer Vision (컴퓨터 비전) : 마스터 클래스,https://www.udemy.com/course/best-computer-vision/,475,55,6,8/2022,Korean,1,1,69.90,1,16,229,25h 27m,Jones Granatyr,"166,599",91,4.7,Ligency Team,"2,262,027",104,4.6,0,0,0,4.8
1,【한글자막】 NLP : Python 으로 배우는 자연어 처리,https://www.udemy.com/course/global-top-100-nlp-python-246/,536,54,2,9/2021,Korean,1,6,69.90,1,9,80,11h 26m,Jose Portilla,"3,245,562",60,4.6,웅진씽크빅 글로벌,"44,700",240,4.7,1,0,0,4.7
2,Réalise un projet de Machine Learning avec Python en 2h,https://www.udemy.com/course/machine-learning-realiser-son-projet-en-python/,261,53,1,2/2023,French,1,1,69.90,0,7,29,2h 10m,Damien Chambon,284,2,4.5,null,null,null,null,0,0,0,4.5
3,深度学习-物体检测-YOLO实战系列,https://www.udemy.com/course/yolo-tyd/,306,53,1,6/2020,Simplified Chinese,2,1,69.90,1,8,68,9h 21m,唐宇迪 唐,"4,103",25,4.4,null,null,null,null,0,0,0,4.6
4,Machine Learning y Data Science con PySpark: cero a experto,https://www.udemy.com/course/machine-learning-y-data-science-con-pyspark-cero-a-experto/,402,54,1,2/2023,Spanish,1,1,69.90,1,17,79,6h 31m,Data Bootcamp,"11,207",29,4.2,null,null,null,null,0,0,0,4.0
5,Học máy (Machine learning) và ứng dụng,https://www.udemy.com/course/ly-thuyet-hoc-may/,963,52,1,10/2020,Vietnamese,1,0,69.90,1,8,35,5h 14m,Da Hoang Huu,"4,655",7,4.4,null,null,null,null,1,0,0,4.6
6,INTRODUCTION BIG DATA & DATA SCIENCE | version 2023,https://www.udemy.com/course/formation-big-data-data-science-version-2021/,"2,044",51,2,1/2023,French,1,1,249.90,1,15,91,7h 35m,Dr. Firas | Machine Learning et Big Data,"15,417",42,4.4,Ing.Seif | Europe Innovation,"15,564",19,4.4,1,0,0,4.6
7,Fondamentaux de l’actuariat,https://www.udemy.com/course/fondamentaux-de-lactuariat/,128,51,1,11/2018,French,1,1,179.90,0,6,11,31m total,Collège de Paris,617,6,3.9,null,null,null,null,0,0,0,4.2
8,R Programming: Desde cero para principiantes,https://www.udemy.com/course/r-programming-desde-cero/,"11,921",50,2,11/2022,Spanish,1,1,199.90,1,8,40,3h 53m,Numpi Cursos,"398,573",44,4.3,Jorge Alberto Chavez Sarmiento,"20,686",5,4.4,1,0,0,4.4
9,"Python最新基礎課程,網站開發,人臉識別,網絡爬蟲，機器學習，數據分析和自動化，遊戲，圖形化編程,鼠標鍵盤自動化",https://www.udemy.com/course/python-hy/,419,53,1,2/2023,Simplified Chinese,2,0,69.90,1,27,556,64h 48m,大熊 EACH,670,2,4.4,null,null,null,null,0,0,0,4.7
10,Álgebra Linear com Python para Machine Learning e Modelagem,https://www.udemy.com/course/algebra-linear-com-python-para-machine-learning-e-modelagem/,373,50,1,1/2023,Portuguese,1,1,69.90,1,7,54,11h 16m,Luciano Galdino,"6,980",15,4.8,null,null,null,null,0,0,0,4.9
11,Pythonとディープラーニングがわかる基礎講座（Windows10版）,https://www.udemy.com/course/pythonwindows10/,258,50,1,5/2021,Japanese,1,1,69.90,1,12,20,6h 33m,伊藤 泰輔,720,2,3.9,null,null,null,null,0,0,0,4.0
