,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,Machine Learning A-Z™: Python & R in Data Science [2023],https://www.udemy.com/course/machinelearning/,922067,166060,4,23-Feb,English,1,14,399.9,1,46.0,382.0,42.56666666666667,Kirill Eremenko,2310664.0,59,4.5,1,1671787.0,42.0,4.5,1,0,0,4.5
1,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,618002,126865,1,20-May,English,1,15,349.9,1,27.0,165.0,24.9,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.6
2,The Data Science Course 2023: Complete Data Science Bootcamp,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,570308,119395,2,22-Dec,English,1,16,399.9,1,65.0,517.0,31.85,365 Careers,2246699.0,91,4.5,1,727304.0,3.0,4.6,1,0,0,4.6
3,R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/course/r-programming/,249326,49393,3,23-Jan,English,1,15,349.9,1,8.0,78.0,10.583333333333334,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.6
4,Deep Learning A-Z™: Hands-On Artificial Neural Networks,https://www.udemy.com/course/deeplearning/,349233,42086,4,23-Feb,English,1,12,399.9,1,26.0,169.0,22.55,Kirill Eremenko,2310664.0,59,4.5,1,1671787.0,42.0,4.5,0,0,0,4.6
5,Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,166843,36078,2,22-Dec,English,1,16,399.9,1,18.0,92.0,4.85,365 Careers,2246699.0,91,4.5,1,727304.0,3.0,4.6,1,0,0,4.6
6,Data Science A-Z™: Real-Life Data Science Exercises Included,https://www.udemy.com/course/datascience/,210728,32839,3,23-Jan,English,1,10,329.9,1,28.0,216.0,21.2,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.5
7,"Machine Learning, Data Science and Deep Learning with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,172722,28498,3,22-Sep,English,1,12,89.9,1,13.0,116.0,15.6,Sundog Education by Frank Kane,687720.0,33,4.5,1,636593.0,26.0,4.6,0,0,0,4.6
8,Python A-Z™: Python For Data Science With Real Exercises!,https://www.udemy.com/course/python-coding/,151395,25590,3,23-Jan,English,1,7,349.9,1,8.0,71.0,11.083333333333334,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.6
9,Artificial Intelligence A-Z™: Learn How To Build An AI,https://www.udemy.com/course/artificial-intelligence-az/,196457,22530,6,23-Feb,English,1,16,399.9,1,19.0,125.0,16.966666666666665,Hadelin de Ponteves,1671787.0,42,4.5,1,2310664.0,59.0,4.5,1,0,0,4.4
10,Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,113288,20827,1,20-May,English,1,16,349.9,1,18.0,67.0,10.583333333333334,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.5
11,Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,177816,18806,1,23-Jan,English,1,26,69.9,1,15.0,207.0,22.0,Boris Paskhaver,350927.0,7,4.7,0,0.0,0.0,0,1,1,0,4.7
12,Complete Guide to TensorFlow for Deep Learning with Python,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,93696,16608,1,20-Apr,English,1,13,349.9,1,13.0,96.0,14.15,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.2
13,Apache Spark with Scala - Hands On with Big Data!,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,89690,16541,3,22-Sep,English,1,10,69.9,1,10.0,69.0,8.966666666666667,Sundog Education by Frank Kane,687720.0,33,4.5,1,636593.0,26.0,4.6,1,0,0,4.6
14,Data Science and Machine Learning Bootcamp with R,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,87633,15754,1,20-Dec,English,1,16,349.9,1,35.0,128.0,17.75,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.6
15,Taming Big Data with Apache Spark and Python - Hands On!,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,86890,14346,3,23-Jan,English,1,12,89.9,1,8.0,66.0,6.95,Sundog Education by Frank Kane,687720.0,33,4.5,1,636593.0,26.0,4.6,0,0,0,4.5
16,NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,66691,12955,1,19-Sep,English,1,14,349.9,1,9.0,80.0,11.4,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.6
17,Introduction to Machine Learning for Data Science,https://www.udemy.com/course/machine-learning-for-data-science/,58709,12645,1,20-Jul,English,1,7,279.9,1,14.0,62.0,5.55,David Valentine,86232.0,2,4.5,0,0.0,0.0,0,1,0,0,4.5
18,Data Science: Natural Language Processing (NLP) in Python,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,43910,11399,1,23-Feb,English,1,5,279.9,1,15.0,88.0,11.866666666666667,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
19,Python for Machine Learning & Data Science Masterclass,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,84168,11076,1,21-Sep,English,1,15,329.9,1,26.0,231.0,44.06666666666667,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,1,0,4.6
20,Statistics for Business Analytics and Data Science A-Z™,https://www.udemy.com/course/data-statistics/,58425,10407,3,23-Jan,English,1,10,349.9,1,6.0,41.0,6.033333333333333,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.5
21,Artificial Intelligence: Reinforcement Learning in Python,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,43413,9537,2,23-Feb,English,1,6,279.9,0,14.0,111.0,14.716666666666667,Lazy Programmer Team,185342.0,16,4.7,1,522205.0,32.0,4.7,0,0,0,4.7
22,Data Science: Deep Learning and Neural Networks in Python,https://www.udemy.com/course/data-science-deep-learning-in-python/,52293,8814,1,23-Feb,English,1,3,279.9,1,14.0,89.0,12.133333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
23,Tensorflow 2.0: Deep Learning and Artificial Intelligence,https://www.udemy.com/course/deep-learning-tensorflow-2/,41913,8642,2,23-Feb,English,1,1,319.9,1,21.0,136.0,23.45,Lazy Programmer Inc.,522205.0,32,4.7,1,185342.0,16.0,4.7,0,0,0,4.7
24,R Programming: Advanced Analytics In R For Data Science,https://www.udemy.com/course/r-analytics/,58475,8312,3,23-Jan,English,1,10,319.9,1,5.0,53.0,5.966666666666667,Kirill Eremenko,2310664.0,59,4.5,1,2318090.0,148.0,4.6,1,0,0,4.5
25,Interactive Python Dashboards with Plotly and Dash,https://www.udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,44214,8105,1,19-Sep,English,1,1,299.9,1,13.0,69.0,9.716666666666667,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,0,0,0,4.6
26,DP-900 Azure Data Fundamentals Exam Prep In One Day,https://www.udemy.com/course/dp900-azure/,41358,8057,2,23-Feb,English,1,1,105.9,1,12.0,49.0,4.2,Scott Duffy  • 800.000+ Students,891808.0,49,4.5,1,868389.0,42.0,4.5,1,0,1,4.5
27,Natural Language Processing with Deep Learning in Python,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,43305,7240,1,23-Feb,English,1,7,259.9,1,13.0,95.0,12.033333333333333,Lazy Programmer Inc.,522205.0,32,4.7,0,0.0,0.0,0,0,0,0,4.6
28,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,https://www.udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,42839,7042,1,22-Jun,English,1,1,399.9,1,13.0,116.0,19.2,Jose Portilla,3244349.0,59,4.6,0,0.0,0.0,0,1,0,0,4.7
