,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,Machine Learning A-Z™: Python & R in Data Science [2023],https://www.udemy.com/course/machinelearning/,"922,067","166,060",4.0,2/2023,English,1.0,14.0,399.9,1.0,46.0,382.0,42h 34m,Kirill Eremenko,"2,310,664",59.0,4.5,Hadelin de Ponteves,"1,671,787",42.0,4.5,1.0,0.0,0.0,4.5
1,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"618,002","126,865",1.0,5/2020,English,1.0,15.0,349.9,1.0,27.0,165.0,24h 54m,Jose Portilla,"3,244,349",59.0,4.6,,,,,0.0,0.0,0.0,4.6
2,The Data Science Course 2023: Complete Data Science Bootcamp,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"570,308","119,395",2.0,12/2022,English,1.0,16.0,399.9,1.0,,,,365 Careers,"2,246,699",91.0,4.5,365 Careers Team,"727,304",3.0,4.6,0.0,0.0,0.0,4.6
3,R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/course/r-programming/,"249,326","49,393",3.0,1/2023,English,1.0,15.0,349.9,1.0,8.0,78.0,10h 35m,Kirill Eremenko,"2,310,664",59.0,4.5,Ligency I Team,"2,318,090",148.0,4.6,1.0,0.0,0.0,4.6
4,Deep Learning A-Z™: Hands-On Artificial Neural Networks,https://www.udemy.com/course/deeplearning/,"349,233","42,086",4.0,2/2023,English,1.0,12.0,399.9,1.0,26.0,169.0,22h 33m,Kirill Eremenko,"2,310,664",59.0,4.5,Hadelin de Ponteves,"1,671,787",42.0,4.5,0.0,0.0,0.0,4.6
5,Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,"166,843","36,078",2.0,12/2022,English,1.0,16.0,399.9,1.0,18.0,92.0,4h 51m,365 Careers,"2,246,699",91.0,4.5,365 Careers Team,"727,304",3.0,4.6,1.0,0.0,0.0,4.6
6,Data Science A-Z™: Real-Life Data Science Exercises Included,https://www.udemy.com/course/datascience/,"210,728","32,839",3.0,1/2023,English,1.0,10.0,329.9,1.0,28.0,216.0,21h 12m,Kirill Eremenko,"2,310,664",59.0,4.5,Ligency I Team,"2,318,090",148.0,4.6,1.0,0.0,0.0,4.5
7,"Machine Learning, Data Science and Deep Learning with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"172,722","28,498",3.0,9/2022,English,1.0,12.0,89.9,1.0,13.0,116.0,15h 36m,Sundog Education by Frank Kane,"687,720",33.0,4.5,Frank Kane,"636,593",26.0,4.6,0.0,0.0,0.0,4.6
8,Python A-Z™: Python For Data Science With Real Exercises!,https://www.udemy.com/course/python-coding/,"151,395","25,590",3.0,1/2023,English,1.0,7.0,349.9,1.0,8.0,71.0,11h 5m,Kirill Eremenko,"2,310,664",59.0,4.5,Ligency I Team,"2,318,090",148.0,4.6,1.0,0.0,0.0,4.6
9,Artificial Intelligence A-Z™: Learn How To Build An AI,https://www.udemy.com/course/artificial-intelligence-az/,"196,457","22,530",6.0,2/2023,English,1.0,16.0,399.9,1.0,19.0,125.0,16h 58m,Hadelin de Ponteves,"1,671,787",42.0,4.5,Kirill Eremenko,"2,310,664",59.0,4.5,1.0,0.0,0.0,4.4
10,Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,"113,288","20,827",1.0,5/2020,English,1.0,16.0,349.9,1.0,18.0,67.0,10h 35m,Jose Portilla,"3,244,349",59.0,4.6,,,,,0.0,0.0,0.0,4.5
11,Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,"177,816","18,806",1.0,1/2023,English,1.0,26.0,69.9,1.0,15.0,207.0,22h 0m,Boris Paskhaver,"350,927",7.0,4.7,,,,,1.0,1.0,0.0,4.7
12,Complete Guide to TensorFlow for Deep Learning with Python,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,"93,696","16,608",1.0,4/2020,English,1.0,13.0,349.9,1.0,13.0,96.0,14h 9m,Jose Portilla,"3,244,349",59.0,4.6,,,,,0.0,0.0,0.0,4.2
13,Apache Spark with Scala - Hands On with Big Data!,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,"89,690","16,541",3.0,9/2022,English,1.0,10.0,69.9,1.0,10.0,69.0,8h 58m,Sundog Education by Frank Kane,"687,720",33.0,4.5,Frank Kane,"636,593",26.0,4.6,1.0,0.0,0.0,4.6
14,Data Science and Machine Learning Bootcamp with R,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,"87,633","15,754",1.0,12/2020,English,1.0,16.0,349.9,1.0,35.0,128.0,17h 45m,Jose Portilla,"3,244,349",59.0,4.6,,,,,1.0,0.0,0.0,4.6
15,Complete Machine Learning & Data Science Bootcamp 2023,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"87,278","14,496",3.0,2/2023,English,1.0,15.0,459.9,1.0,,,,Andrei Neagoie,"977,488",26.0,4.6,Daniel Bourke,"125,604",3.0,4.7,0.0,1.0,0.0,4.6
16,Taming Big Data with Apache Spark and Python - Hands On!,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,"86,890","14,346",3.0,1/2023,English,1.0,12.0,89.9,1.0,8.0,66.0,6h 57m,Sundog Education by Frank Kane,"687,720",33.0,4.5,Frank Kane,"636,593",26.0,4.6,0.0,0.0,0.0,4.5
17,NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,"66,691","12,955",1.0,9/2019,English,1.0,14.0,349.9,1.0,9.0,80.0,11h 24m,Jose Portilla,"3,244,349",59.0,4.6,,,,,1.0,0.0,0.0,4.6
18,Introduction to Machine Learning for Data Science,https://www.udemy.com/course/machine-learning-for-data-science/,"58,709","12,645",1.0,7/2020,English,1.0,7.0,279.9,1.0,14.0,62.0,5h 33m,David Valentine,"86,232",2.0,4.5,,,,,1.0,0.0,0.0,4.5
19,Data Science: Natural Language Processing (NLP) in Python,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,"43,910","11,399",1.0,2/2023,English,1.0,5.0,279.9,1.0,15.0,88.0,11h 52m,Lazy Programmer Inc.,"522,205",32.0,4.7,,,,,0.0,0.0,0.0,4.6
20,Python for Machine Learning & Data Science Masterclass,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,"84,168","11,076",1.0,9/2021,English,1.0,15.0,329.9,1.0,26.0,231.0,44h 4m,Jose Portilla,"3,244,349",59.0,4.6,,,,,0.0,1.0,0.0,4.6
21,Statistics for Business Analytics and Data Science A-Z™,https://www.udemy.com/course/data-statistics/,"58,425","10,407",3.0,1/2023,English,1.0,10.0,349.9,1.0,6.0,41.0,6h 2m,Kirill Eremenko,"2,310,664",59.0,4.5,Ligency I Team,"2,318,090",148.0,4.6,1.0,0.0,0.0,4.5
22,Artificial Intelligence: Reinforcement Learning in Python,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,"43,413","9,537",2.0,2/2023,English,1.0,6.0,279.9,0.0,14.0,111.0,14h 43m,Lazy Programmer Team,"185,342",16.0,4.7,Lazy Programmer Inc.,"522,205",32.0,4.7,0.0,0.0,0.0,4.7
23,Data Science: Deep Learning and Neural Networks in Python,https://www.udemy.com/course/data-science-deep-learning-in-python/,"52,293","8,814",1.0,2/2023,English,1.0,3.0,279.9,1.0,14.0,89.0,12h 8m,Lazy Programmer Inc.,"522,205",32.0,4.7,,,,,0.0,0.0,0.0,4.6
24,Tensorflow 2.0: Deep Learning and Artificial Intelligence,https://www.udemy.com/course/deep-learning-tensorflow-2/,"41,913","8,642",2.0,2/2023,English,1.0,1.0,319.9,1.0,21.0,136.0,23h 27m,Lazy Programmer Inc.,"522,205",32.0,4.7,Lazy Programmer Team,"185,342",16.0,4.7,0.0,0.0,0.0,4.7
25,R Programming: Advanced Analytics In R For Data Science,https://www.udemy.com/course/r-analytics/,"58,475","8,312",3.0,1/2023,English,1.0,10.0,319.9,1.0,5.0,53.0,5h 58m,Kirill Eremenko,"2,310,664",59.0,4.5,Ligency I Team,"2,318,090",148.0,4.6,1.0,0.0,0.0,4.5
26,Interactive Python Dashboards with Plotly and Dash,https://www.udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,"44,214","8,105",1.0,9/2019,English,1.0,1.0,299.9,1.0,13.0,69.0,9h 43m,Jose Portilla,"3,244,349",59.0,4.6,,,,,0.0,0.0,0.0,4.6
27,DP-900 Azure Data Fundamentals Exam Prep In One Day,https://www.udemy.com/course/dp900-azure/,"41,358","8,057",2.0,2/2023,English,1.0,1.0,105.9,1.0,12.0,49.0,4h 12m,Scott Duffy  • 800.000+ Students,"891,808",49.0,4.5,Software Architect.ca,"868,389",42.0,4.5,1.0,0.0,1.0,4.5
28,Natural Language Processing with Deep Learning in Python,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,"43,305","7,240",1.0,2/2023,English,1.0,7.0,259.9,1.0,13.0,95.0,12h 2m,Lazy Programmer Inc.,"522,205",32.0,4.7,,,,,0.0,0.0,0.0,4.6
29,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,https://www.udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,"42,839","7,042",1.0,6/2022,English,1.0,1.0,399.9,1.0,13.0,116.0,19h 12m,Jose Portilla,"3,244,349",59.0,4.6,,,,,1.0,0.0,0.0,4.7
30,"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",https://www.udemy.com/course/computer-vision-a-z/,"46,350","6,398",4.0,1/2023,English,1.0,11.0,319.9,1.0,12.0,85.0,11h 5m,Hadelin de Ponteves,"1,671,787",42.0,4.5,Kirill Eremenko,"2,310,664",59.0,4.5,1.0,0.0,0.0,4.2
